,Word,Title Frequency
1033,hangover,2
1034,project,2
1035,tate,2
1036,versailles,2
1037,moscovici,2
1038,simone,2
1039,veil,2
1040,seizes,2
1041,ethics,2
1042,hijack,2
1043,step,2
1044,judge,2
1045,élections,2
1046,dorian,2
1047,gray,2
1048,élysée,2
1049,burkinis,2
1050,richard,2
1051,ferrand,2
1052,night,2
1053,travail,2
1054,fired,2
1055,reacted,2
1056,reads,2
1057,learned,2
1058,cyber,2
1059,targets,2
1060,live,2
1061,increases,2
1062,reject,2
1063,frexit,2
1064,headed,2
1065,leftists,2
1066,chamber,2
1067,supporting,2
1068,unites,2
1069,final,2
1070,neck,2
1071,decline,2
1072,interview,2
1073,wartime,2
1074,firebrand,2
1075,threat,2
1076,loves,2
1077,hired,2
1078,billionaire,2
1079,daughters,2
1080,unchained,2
1081,build,2
1082,received,2
1083,loan,2
1084,husband,2
1085,february,2
1086,splits,2
1087,breitbart,2
1088,headscarf,2
1089,deepen,2
1090,attacker,2
1091,payments,2
1092,choices,2
1093,growing,2
1094,mp,2
1095,cover,2
1096,christine,2
1097,tycoon,2
1098,candidature,2
1099,cazeneuve,2
1100,worst,2
1101,hope,2
1102,air,2
1103,knock,2
1104,politique,2
1105,editor,2
1106,dismantle,2
1107,lobby,2
1108,sms,2
1109,exclusion,2
1110,closer,2
1111,arnaud,2
1112,montebourg,2
1113,offer,2
1114,corsica,2
1115,alstom,2
1116,avec,2
1117,hillary,2
1118,woman,2
1119,town,2
1120,honneur,2
1121,behavior,2
1122,liar,2
1123,july,2
1124,sanctions,2
1125,loi,2
1126,single,2
1127,access,2
1128,allemand,2
1129,fail,2
1130,business,2
1131,strike,2
1132,ibrahimović,2
1133,sapin,2
1134,rogue,2
1135,“,2
1136,”,2
1137,ça,2
1138,mieux,2
1139,ttip,2
1140,youth,2
1141,cartoon,2
1142,carousel,2
1143,ruined,2
1144,scrambles,2
1145,strides,1
1146,cultural,1
1147,napoleon,1
1148,memory,1
1149,reeling,1
1150,kiss,1
1151,glut,1
1152,struggles,1
1153,fallout,1
1154,pensioner,1
1155,murder,1
1156,launched,1
1157,fatal,1
1158,stabbing,1
1159,super,1
1160,responsible,1
1161,quarantine,1
1162,travelers,1
1163,slam,1
1164,breakaway,1
1165,uper,1
1166,advises,1
1167,temporarily,1
1168,bring,1
1169,brazil,1
1170,flight,1
1171,suspension,1
1172,vandalism,1
1173,concerns,1
1174,trumped,1
1175,reformist,1
1176,luxury,1
1177,curbs,1
1178,tears,1
1179,consultancy,1
1180,deals,1
1181,rwandan,1
1182,genocide,1
1183,hospital,1
1184,reboot,1
1185,oxford,1
1186,monthlong,1
1187,region,1
1188,setting,1
1189,zones,1
1190,threatened,1
1191,withhold,1
1192,prevented,1
1193,pass,1
1194,venues,1
1195,till,1
1196,convicted,1
1197,generation,1
1198,identity,1
1199,pupils,1
1200,banning,1
1201,symbols,1
1202,sentence,1
1203,crushes,1
1204,prospects,1
1205,rocks,1
1206,convention,1
1207,flirting,1
1208,quarrels,1
1209,meatless,1
1210,riviera,1
1211,weekend,1
1212,leftism,1
1213,anchor,1
1214,patrick,1
1215,poivre,1
1216,arvor,1
1217,scouring,1
1218,catch,1
1219,fraudsters,1
1220,bias,1
1221,academia,1
1222,extremism,1
1223,gathers,1
1224,illustrated,1
1225,obstacle,1
1226,challengers,1
1227,spars,1
1228,clément,1
1229,beaune,1
1230,director,1
1231,duhamel,1
1232,advantage,1
1233,cabinets,1
1234,conseil,1
1235,comme,1
1236,ont,1
1237,conquis,1
1238,consultants,1
1239,expulsion,1
1240,diplomats,1
1241,china,1
1242,dissatisfaction,1
1243,rise,1
1244,admires,1
1245,warp,1
1246,quasi,1
1247,ineffective,1
1248,older,1
1249,hamper,1
1250,dog,1
1251,pet,1
1252,stores,1
1253,sufficient,1
1254,apologize,1
1255,algeria,1
1256,colonization,1
1257,benefits,1
1258,invisible,1
1259,hurt,1
1260,charter,1
1261,imams,1
1262,piercing,1
1263,wrinkles,1
1264,ruckus,1
1265,procurement,1
1266,incest,1
1267,scientist,1
1268,establishment,1
1269,consultancies,1
1270,vaccination,1
1271,poses,1
1272,busting,1
1273,rave,1
1274,quiz,1
1275,condemned,1
1276,angers,1
1277,tweets,1
1278,targeting,1
1279,contestant,1
1280,prompts,1
1281,dishonorable,1
1282,italians,1
1283,egypt,1
1284,radicalism,1
1285,niece,1
1286,authoritarian,1
1287,vetoing,1
1288,visionary,1
1289,intelligence,1
1290,inspect,1
1291,mosques,1
1292,suspicion,1
1293,eparatism,1
1294,alpine,1
1295,ski,1
1296,resorts,1
1297,dread,1
1298,backtrack,1
1299,thousands,1
1300,hame,1
1301,rewrite,1
1302,eases,1
1303,dismantling,1
1304,feeds,1
1305,footage,1
1306,postpone,1
1307,rectify,1
1308,blatant,1
1309,treatment,1
1310,tanker,1
1311,depends,1
1312,guarantee,1
1313,crackdown,1
1314,filming,1
1315,ballots,1
1316,lax,1
1317,learn,1
1318,delay,1
1319,imam,1
1320,feasible,1
1321,rector,1
1322,experiment,1
1323,muddled,1
1324,messaging,1
1325,fuels,1
1326,contradicts,1
1327,dissolve,1
1328,turkish,1
1329,ultranationalist,1
1330,priest,1
1331,shooting,1
1332,lyon,1
1333,deployment,1
1334,surveillance,1
1335,technology,1
1336,series,1
1337,beefs,1
1338,posts,1
1339,abroad,1
1340,oecd,1
1341,contenders,1
1342,standing,1
1343,leaves,1
1344,caricature,1
1345,backfire,1
1346,tension,1
1347,turf,1
1348,wars,1
1349,burnouts,1
1350,mongering,1
1351,turks,1
1352,boycott,1
1353,goods,1
1354,liner,1
1355,darkens,1
1356,shadow,1
1357,teachers,1
1358,swimming,1
1359,pools,1
1360,complaint,1
1361,aisles,1
1362,closure,1
1363,denounced,1
1364,murdered,1
1365,urban,1
1366,jack,1
1367,lang,1
1368,epstein,1
1369,donation,1
1370,fund,1
1371,movie,1
1372,crewed,1
1373,tested,1
1374,baltic,1
1375,reckons,1
1376,limits,1
1377,confesses,1
1378,stronger,1
1379,multilateralism,1
1380,advice,1
1381,cheap,1
1382,cooks,1
1383,storm,1
1384,hundreds,1
1385,monkey,1
1386,prospect,1
1387,despair,1
1388,dignity,1
1389,lebanese,1
1390,commitment,1
1391,calendar,1
1392,bet,1
1393,magazine,1
1394,depicting,1
1395,slave,1
1396,dodges,1
1397,retaliatory,1
1398,fort,1
1399,brégançon,1
1400,youngest,1
1401,transform,1
1402,ramp,1
1403,presence,1
1404,mediterranean,1
1405,mask,1
1406,heatwave,1
1407,language,1
1408,carrot,1
1409,delivers,1
1410,stern,1
1411,message,1
1412,stricken,1
1413,quarter,1
1414,avoided,1
1415,feminists,1
1416,attractivenes,1
1417,title,1
1418,ridicule,1
1419,place,1
1420,castex,1
1421,picking,1
1422,profile,1
1423,bets,1
1424,greater,1
1425,involvement,1
1426,sahel,1
1427,counterterrorism,1
1428,tightrope,1
1429,highlights,1
1430,mixed,1
1431,anne,1
1432,throne,1
1433,haunting,1
1434,rated,1
1435,appointing,1
1436,dijon,1
1437,outbreaks,1
1438,continue,1
1439,reset,1
1440,tear,1
1441,statue,1
1442,floated,1
1443,comedian,1
1444,qaeda,1
1445,parade,1
1446,george,1
1447,floyd,1
1448,hairy,1
1449,absolute,1
1450,assault,1
1451,trange,1
1452,farmers,1
1453,alarm,1
1454,cheese,1
1455,meltdown,1
1456,haired,1
1457,europeanist,1
1458,squeeze,1
1459,resurgent,1
1460,solidarity,1
1461,gayle,1
1462,smith,1
1463,changing,1
1464,testing,1
1465,country,1
1466,bars,1
1467,restaurants,1
1468,crunch,1
1469,disrupter,1
1470,convince,1
1471,kids,1
1472,phones,1
1473,sexting,1
1474,secret,1
1475,sex,1
1476,soldier,1
1477,burkina,1
1478,faso,1
1479,roulette,1
1480,pragmatic,1
1481,based,1
1482,photo,1
1483,havre,1
1484,defiant,1
1485,suspends,1
1486,backed,1
1487,site,1
1488,powered,1
1489,concession,1
1490,striketime,1
1491,survival,1
1492,detached,1
1493,ursula,1
1494,marathon,1
1495,conflicts,1
1496,cult,1
1497,personality,1
1498,turtle,1
1499,spells,1
1500,reformer,1
1501,determined,1
1502,existential,1
1503,unite,1
1504,defend,1
1505,insulting,1
1506,nasty,1
1507,formally,1
1508,embezzlement,1
1509,undermining,1
1510,agenda,1
1511,outlines,1
1512,proposal,1
1513,accession,1
1514,indicted,1
1515,islamophobic,1
1516,undercurrent,1
1517,bulgaria,1
1518,issue,1
1519,remarks,1
1520,uncertainty,1
1521,potential,1
1522,competitor,1
1523,pointing,1
1524,betrayal,1
1525,follow,1
1526,crisi,1
1527,fester,1
1528,rejection,1
1529,institutional,1
1530,justify,1
1531,extension,1
1532,unrelenting,1
1533,mounts,1
1534,mourn,1
1535,lovable,1
1536,aged,1
1537,disrupted,1
1538,bang,1
1539,heavyweight,1
1540,impropriety,1
1541,conducted,1
1542,brazilian,1
1543,supports,1
1544,intention,1
1545,pesticide,1
1546,includes,1
1547,western,1
1548,balkans,1
1549,teach,1
1550,literature,1
1551,suburb,1
1552,smoking,1
1553,stubbed,1
1554,unsteady,1
1555,crown,1
1556,transparency,1
1557,festival,1
1558,booed,1
1559,celebrations,1
1560,lobster,1
1561,dinners,1
1562,raids,1
1563,senior,1
1564,ciudadanos,1
1565,comparable,1
1566,emerges,1
1567,slump,1
1568,pop,1
1569,frame,1
1570,defeats,1
1571,surge,1
1572,misused,1
1573,cjeu,1
1574,square,1
1575,wrestle,1
1576,leading,1
1577,plugs,1
1578,supergroup,1
1579,wildfire,1
1580,pool,1
1581,resources,1
1582,heritage,1
1583,shakes,1
1584,scrap,1
1585,fully,1
1586,extinguished,1
1587,tipped,1
1588,taxes,1
1589,privatization,1
1590,malta,1
1591,allocate,1
1592,loiseau,1
1593,piste,1
1594,sacked,1
1595,trong,1
1596,strains,1
1597,responds,1
1598,poseur,1
1599,poet,1
1600,reborn,1
1601,showman,1
1602,misunderstanding,1
1603,decathlon,1
1604,hijab,1
1605,online,1
1606,semitism,1
1607,senators,1
1608,accuse,1
1609,withholding,1
1610,orgy,1
1611,psychotherapy,1
1612,twitch,1
1613,condemns,1
1614,fireworks,1
1615,suggests,1
1616,truths,1
1617,pocket,1
1618,fingers,1
1619,winner,1
1620,conference,1
1621,rome,1
1622,repeated,1
1623,animalist,1
1624,promotes,1
1625,champions,1
1626,railbus,1
1627,attempt,1
1628,recording,1
1629,convenience,1
1630,gift,1
1631,responsive,1
1632,membership,1
1633,reformed,1
1634,lecturing,1
1635,transport,1
1636,staff,1
1637,heartland,1
1638,jumps,1
1639,kick,1
1640,laws,1
1641,multiple,1
1642,agitators,1
1643,stick,1
1644,probed,1
1645,registers,1
1646,trademark,1
1647,figures,1
1648,charts,1
1649,flop,1
1650,communists,1
1651,recruit,1
1652,consecutive,1
1653,respite,1
1654,lies,1
1655,beneath,1
1656,uprising,1
1657,foot,1
1658,deficit,1
1659,increase,1
1660,santa,1
1661,hole,1
1662,sweeteners,1
1663,catastrophe,1
1664,reckoning,1
1665,mode,1
1666,knees,1
1667,poor,1
1668,climbdown,1
1669,canceled,1
1670,smacking,1
1671,detriment,1
1672,spot,1
1673,tweak,1
1674,rages,1
1675,mobilize,1
1676,mutiny,1
1677,tweet,1
1678,lack,1
1679,decency,1
1680,anniversary,1
1681,wanted,1
1682,speaking,1
1683,judgment,1
1684,charms,1
1685,collaborator,1
1686,pond,1
1687,ultra,1
1688,howdown,1
1689,boot,1
1690,hails,1
1691,caledonia,1
1692,unexpected,1
1693,pundits,1
1694,worried,1
1695,quake,1
1696,hesse,1
1697,teaches,1
1698,headlines,1
1699,khashoggi,1
1700,arabia,1
1701,morals,1
1702,freakout,1
1703,treaty,1
1704,brits,1
1705,cliff,1
1706,edge,1
1707,safety,1
1708,turns,1
1709,drunk,1
1710,gaffes,1
1711,interpol,1
1712,reported,1
1713,missing,1
1714,spins,1
1715,unblocks,1
1716,subsidies,1
1717,accepting,1
1718,chequers,1
1719,suicidal,1
1720,undergo,1
1721,psychiatric,1
1722,evaluation,1
1723,memorabilia,1
1724,worth,1
1725,sold,1
1726,finishing,1
1727,admit,1
1728,algerian,1
1729,review,1
1730,swedish,1
1731,pedaling,1
1732,opponent,1
1733,shaky,1
1734,ground,1
1735,isolation,1
1736,grows,1
1737,depend,1
1738,macronomics,1
1739,uninvited,1
1740,web,1
1741,magnette,1
1742,uproar,1
1743,wwi,1
1744,ceremony,1
1745,vélo,1
1746,rattled,1
1747,clamps,1
1748,upskirting,1
1749,pervert,1
1750,accidental,1
1751,berlusconi,1
1752,blocks,1
1753,broadcasting,1
