,Word,Title Frequency,Word Frequency,,Class
748,hungary,2,55,1012,
749,rule,2,116,570,
750,pays,2,28,1424,
751,tribute,2,23,1536,
752,season,2,18,1699,
753,tourists,2,28,1424,
754,valéry,2,32,1335,
755,images,2,754,51,
756,expresses,2,2,2541,
757,journalists,2,209,312,
758,beats,2,2,2541,
759,friday,2,354,153,
760,mail,2,65,912,
761,stresses,2,1,2664,
762,knocks,2,0,2815,
763,biden,2,32,1335,
764,backlash,2,55,1012,
765,wounded,2,18,1699,
766,urge,2,8,2109,
767,diplomatic,2,170,399,
768,turmoil,2,21,1602,
769,minimum,2,67,893,
770,deadly,2,22,1561,
771,decries,2,1,2664,
772,inside,2,72,840,
773,cartoons,2,38,1230,
774,recalls,2,4,2365,
775,killing,2,51,1074,
776,mayors,2,72,840,
777,requests,2,34,1293,
778,detain,2,9,2050,
779,areas,2,114,577,
780,initiative,2,93,671,
781,main,2,302,196,
782,offices,2,39,1214,
783,number,2,322,176,
784,arrest,2,38,1230,
785,criticizes,2,6,2234,
786,destruction,2,22,1561,
787,making,2,339,161,
788,lawmaker,2,41,1181,
789,beirut,2,32,1335,
790,stage,2,178,377,
791,question,2,332,167,
792,ruin,2,7,2174,
793,deadline,2,33,1315,
794,economy,2,589,73,
795,shrinks,2,0,2815,
796,closures,2,8,2109,
797,hould,2,0,2815,
798,distancing,2,17,1729,
799,ditches,2,0,2815,
800,reveal,2,17,1729,
801,loser,2,23,1536,
802,sentenced,2,25,1494,
803,conquer,2,7,2174,
804,considers,2,29,1397,
805,fined,2,20,1644,
806,chokehold,2,5,2299,
807,arrests,2,20,1644,
808,hints,2,13,1872,
809,scraps,2,2,2541,
810,bastille,2,43,1156,
811,demonstration,2,46,1131,
812,draws,2,18,1699,
813,hands,2,112,583,
814,loses,2,21,1602,
815,alleged,2,135,492,
816,sound,2,36,1258,
817,lonely,2,6,2234,
818,shutdown,2,12,1911,
819,epidemic,2,42,1171,
820,democratic,2,207,315,
821,unity,2,89,694,
822,education,2,160,423,
823,tests,2,22,1561,
824,positive,2,68,882,
825,fails,2,21,1602,
826,level,2,241,260,
827,confirms,2,8,2109,
828,kicks,2,13,1872,
829,account,2,105,615,
830,website,2,84,728,
831,thinks,2,49,1098,
832,winning,2,185,364,
833,forced,2,150,449,
834,truce,2,13,1872,
835,playing,2,65,912,
836,discontent,2,30,1379,
837,count,2,50,1086,
838,overhaul,2,90,686,
839,process,2,181,373,
840,mark,2,76,799,
841,worse,2,58,973,
842,liberals,2,43,1156,
843,starring,2,2,2541,
844,finger,2,12,1911,
845,internal,2,155,438,
846,failures,2,17,1729,
847,rest,2,96,653,
848,sarko,2,20,1644,
849,breaks,2,16,1759,
850,friendship,2,27,1449,
851,tree,2,9,2050,
852,rich,2,67,893,
853,alliance,2,174,390,
854,repay,2,13,1872,
855,endgame,2,2,2541,
856,ballot,2,67,893,
857,euroskeptic,2,78,778,
858,freeze,2,11,1946,
859,fundraising,2,11,1946,
860,adviser,2,286,207,
861,reaches,2,7,2174,
862,tech,2,45,1138,
863,officials,2,594,70,
864,extreme,2,78,778,
865,open,2,286,207,
866,street,2,142,474,
867,champion,2,35,1278,
868,lifts,2,3,2442,
869,cdu,2,50,1086,
870,renaissance,2,66,902,
871,expect,2,79,769,
872,munich,2,10,2001,
873,loss,2,58,973,
874,dispute,2,59,962,
875,bardot,2,8,2109,
876,lays,2,4,2365,
877,matteo,2,64,919,
878,blames,2,6,2234,
879,mercron,2,1,2664,
880,fury,2,22,1561,
881,prison,2,61,941,
882,dozens,2,54,1023,
883,arrested,2,76,799,
884,davos,2,23,1536,
885,maio,2,53,1042,
886,picks,2,7,2174,
887,stories,2,33,1315,
888,passport,2,29,1397,
889,troubles,2,47,1120,
890,shot,2,98,639,
891,calm,2,46,1131,
892,economic,2,582,75,
893,lock,2,19,1673,
894,video,2,129,511,
895,taxing,2,14,1834,
896,turn,2,224,290,
897,riot,2,34,1293,
898,acting,2,44,1144,
899,motorist,2,1,2664,
900,royal,2,71,848,
901,blasts,2,2,2541,
902,looms,2,4,2365,
903,slip,2,16,1759,
904,latest,2,156,432,
905,opinion,2,233,275,
906,result,2,244,258,
907,sons,2,3,2442,
908,saudi,2,29,1397,
909,prince,2,16,1759,
910,sale,2,31,1360,
911,tells,2,19,1673,
912,machine,2,36,1258,
913,control,2,187,357,
914,forces,2,233,275,
915,hand,2,190,350,
916,barcelona,2,34,1293,
917,plummets,2,0,2815,
918,ordered,2,61,941,
919,€k,2,0,2815,
920,calling,2,226,287,
921,cheer,2,7,2174,
922,popular,2,262,235,
923,departure,2,68,882,
924,bump,2,10,2001,
925,plot,2,17,1729,
926,shock,2,61,941,
927,transfer,2,23,1536,
928,star,2,122,539,
929,survives,2,2,2541,
930,confidence,2,113,579,
931,ice,2,10,2001,
932,manu,2,6,2234,
933,beatle,2,0,2815,
934,continent,2,121,545,
935,direction,2,67,893,
936,showdown,2,29,1397,
937,era,2,53,1042,
938,pack,2,8,2109,
939,bridge,2,22,1561,
940,half,2,189,353,
941,seek,2,124,531,
942,premier,2,41,1181,
943,ngo,2,24,1515,
944,train,2,74,817,
945,grinds,2,0,2815,
946,governing,2,61,941,
947,guilty,2,34,1293,
948,prize,2,35,1278,
949,australian,2,5,2299,
950,deliciou,2,0,2815,
951,distance,2,54,1023,
952,chance,2,227,284,
953,rebellion,2,53,1042,
954,study,2,54,1023,
955,olivier,2,77,789,
956,faure,2,22,1561,
957,upholds,2,0,2815,
958,républicains,2,486,100,
959,supermarket,2,29,1397,
960,wake,2,99,637,
961,renaming,2,2,2541,
962,proposes,2,17,1729,
963,revenge,2,26,1475,
964,northern,2,154,440,
965,values,2,198,333,
966,policies,2,274,222,
967,divides,2,8,2109,
968,vestager,2,45,1138,
969,falls,2,21,1602,
970,deep,2,127,517,
971,appeals,2,21,1602,
972,flirtation,2,1,2664,
973,unsettles,2,0,2815,
974,jong,2,9,2050,
975,gambit,2,1,2664,
976,boosts,2,3,2442,
977,mass,2,80,760,
978,brawl,2,10,2001,
979,pledge,2,61,941,
980,raise,2,70,862,
981,wave,2,103,620,
982,winners,2,11,1946,
983,losers,2,11,1946,
984,delays,2,18,1699,
985,mayday,2,1,2664,
986,israel,2,54,1023,
987,door,2,75,809,
988,smile,2,14,1834,
989,task,2,89,694,
990,force,2,291,205,
991,charm,2,8,2109,
992,collapse,2,59,962,
993,silicon,2,10,2001,
994,valley,2,17,1729,
995,seine,2,38,1230,
996,stripped,2,15,1794,
997,bonds,2,18,1699,
998,léglise,2,20,1644,
999,beat,2,66,902,
1000,signs,2,69,871,
1001,florian,2,77,789,
1002,philippot,2,189,353,
1003,gate,2,5,2299,
1004,predicts,2,5,2299,
1005,pitch,2,21,1602,
1006,shipyard,2,10,2001,
1007,heads,2,75,809,
1008,rentrée,2,3,2442,
1009,jeremy,2,34,1293,
1010,corbyn,2,38,1230,
1011,unemployment,2,190,350,
1012,episode,2,19,1673,
1013,makeover,2,1,2664,
1014,months,2,552,84,
1015,reveals,2,13,1872,
1016,role,2,317,185,
1017,rebel,2,36,1258,
1018,korea,2,36,1258,
1019,contest,2,80,760,
